N,M,seed,assigned_MOI,assigned_PASI,tasks_MOI,tasks_PASI,coverage_MOI,coverage_PASI,design_reserve_MOI,design_reserve_PASI,execution_settlement_MOI,execution_settlement_PASI,design_reserve_saving_pct,execution_settlement_saving_pct,coverage_diff_pp
50,40,4,33663.0,33663.0,40000.0,40000.0,0.841575,0.841575,24816.960857185924,20605.522826396595,24833.734602894547,20605.522826396595,16.969999086612088,17.026081030942176,0.0
50,40,5,33829.0,33829.0,40000.0,40000.0,0.845725,0.845725,20307.736405989523,17069.473660625234,20317.841417411448,17069.473660625234,15.945956164810182,15.987760166306419,0.0
50,40,6,33835.0,33835.0,40000.0,40000.0,0.845875,0.845875,22953.79719242263,19847.172304646196,22964.054571201654,19847.172304646196,13.534252575874351,13.572874323614526,0.0
50,40,7,33743.0,33743.0,40000.0,40000.0,0.843575,0.843575,22900.518687823725,19582.25393054961,22912.767712682904,19582.25393054961,14.489910916465165,14.535624084775034,0.0
50,40,8,33815.0,33815.0,40000.0,40000.0,0.845375,0.845375,22015.362749771055,19458.023986177886,22024.230070450678,19458.023986177886,11.61615546679904,11.651740269984746,0.0
50,40,9,33692.0,33692.0,40000.0,40000.0,0.8423,0.8423,20850.24185173697,17896.319965196268,20860.17421462678,17896.319965196268,14.167326727169927,14.208195094326248,0.0
50,40,10,33705.0,33705.0,40000.0,40000.0,0.842625,0.842625,23604.679089242098,20736.797360078468,23616.613997706605,20736.797360078468,12.14963236026655,12.194028483116991,0.0
100,80,1,67728.0,67728.0,80000.0,80000.0,0.8466,0.8466,46571.918045674036,39750.42546626266,46594.42336061482,39750.42546626266,14.647222759263201,14.688448532528097,0.0
100,80,2,67619.0,67619.0,80000.0,80000.0,0.8452375,0.8452375,46711.29517106885,40787.69595748618,46729.829725365256,40787.69595748618,12.681299441364047,12.715932848036127,0.0
100,80,3,67725.0,67725.0,80000.0,80000.0,0.8465625,0.8465625,43276.67006121504,35788.74451399835,43296.5719651591,35788.74451399835,17.302453115327467,17.340466254931975,0.0
100,80,4,67643.0,67643.0,80000.0,80000.0,0.8455375,0.8455375,45899.17547881739,38369.384778565465,45924.23717359884,38369.384778565465,16.405067458623414,16.450686739716925,0.0
100,80,5,67587.0,67587.0,80000.0,80000.0,0.8448375,0.8448375,39763.436889277145,33285.117651491106,39781.47207334301,33285.117651491106,16.292151143335964,16.33010063045157,0.0
100,80,6,67779.0,67779.0,80000.0,80000.0,0.8472375,0.8472375,45489.39169183161,38706.3272555913,45510.726267066304,38706.3272555913,14.91131049232809,14.951198474718662,0.0
100,80,7,67582.0,67582.0,80000.0,80000.0,0.844775,0.844775,45093.935396354704,38611.152010426566,45117.29930262783,38611.152010426566,14.376175707326254,14.42051583930316,0.0
100,80,8,67732.0,67732.0,80000.0,80000.0,0.84665,0.84665,43622.483422020654,37455.34890120008,43641.6806343632,37455.34890120008,14.13751358710449,14.175282993781035,0.0
100,80,9,67736.0,67736.0,80000.0,80000.0,0.8467,0.8467,42378.426447993406,36296.15937424566,42396.62960294771,36296.15937424566,14.352272095831287,14.389045275141166,0.0
100,80,10,67532.0,67532.0,80000.0,80000.0,0.84415,0.84415,44823.367058217635,38582.36976652106,44846.45594077291,38582.36976652106,13.923535203392067,13.967851066145798,0.0
200,160,1,135148.0,135148.0,160000.0,160000.0,0.844675,0.844675,88598.37703545569,74665.88972478136,88642.76916605036,74665.88972478136,15.725443035032981,15.767647573246235,0.0
200,160,2,135402.0,135402.0,160000.0,160000.0,0.8462625,0.8462625,91107.23095533942,78516.04919127082,91151.0530750821,78516.04919127082,13.820178302028264,13.861610434060145,0.0
200,160,3,135579.0,135579.0,160000.0,160000.0,0.84736875,0.84736875,87499.40266223782,73550.49160402652,87538.86168029613,73550.49160402652,15.941721467581216,15.979611577949282,0.0
200,160,4,135317.0,135317.0,160000.0,160000.0,0.84573125,0.84573125,87381.49667746967,73719.69818678951,87426.05358916332,73719.69818678951,15.634658377512888,15.67765538952881,0.0
200,160,5,135404.0,135404.0,160000.0,160000.0,0.846275,0.846275,83842.09977265698,70650.51015401752,83879.40665486554,70650.51015401752,15.733849288614266,15.771328182232269,0.0
200,160,6,135110.0,135110.0,160000.0,160000.0,0.8444375,0.8444375,93256.2068650582,79522.150836125,93306.28288190337,79522.150836125,14.72722995136011,14.772994508016978,0.0
200,160,7,135325.0,135325.0,160000.0,160000.0,0.84578125,0.84578125,85775.9835541459,73154.4660375879,85818.53118267428,73154.4660375879,14.71451214382251,14.756795496918384,0.0
200,160,8,135663.0,135663.0,160000.0,160000.0,0.84789375,0.84789375,84997.41541913088,72293.75266529531,85034.9778533479,72293.75266529531,14.94594005146217,14.98351091479817,0.0
200,160,9,135044.0,135044.0,160000.0,160000.0,0.844025,0.844025,87467.211768688,74334.98158389256,87510.44068334329,74334.98158389256,15.0138891125561,15.055871044149072,0.0
200,160,10,135226.0,135226.0,160000.0,160000.0,0.8451625,0.8451625,88830.3371387689,75566.1668678002,88874.37222942556,75566.1668678002,14.93202738862477,14.97417650081484,0.0
