scenario,seed,design_reserve_MOI,design_reserve_PASI,payment_MOI,payment_PASI,pps_MOI,pps_PASI,coverage_MOI,coverage_PASI,qualified_coverage_MOI,qualified_coverage_PASI,mean_quality_MOI,mean_quality_PASI,assigned_MOI,assigned_PASI,qualified_MOI,qualified_PASI,payment_saving_percent,pps_saving_percent,decision_fee_saving_percent,decision_fee_per_service_MOI,decision_fee_per_service_PASI,decision_fee_per_service_saving_percent,coverage_delta_pp,qualified_coverage_delta_pp,mean_quality_delta
dynamic,26,32488.287555855008,27616.46831048196,32503.714410400175,27616.46831048196,0.6498273538135544,0.552119560776544,0.83365,0.83365,0.83365,0.83365,0.8915385955462322,0.8911677556483455,50019,50019,50019,50019,15.03596185411489,15.035961854114912,14.995617226661285,0.6495189339222097,0.5521195607765441,14.995617226661285,0.0,0.0,-0.0003708398978866656
dynamic,27,31125.932559096807,26516.86734037689,31138.75221189908,26516.86734037689,0.6222523522620815,0.5298922373281821,0.8340333333333333,0.8340333333333333,0.8340333333333333,0.8340333333333333,0.8919285006764506,0.8916272067049651,50042,50042,50042,50042,14.842871159609349,14.84287115960937,14.80779799920526,0.621996174395444,0.5298922373281821,14.807797999205263,0.0,0.0,-0.0003012939714854834
dynamic,28,30995.05338505667,26564.658334138025,31011.1981165616,26564.658334138025,0.6197777223711248,0.5309109108269651,0.8339333333333333,0.8339333333333333,0.8339333333333333,0.8339333333333333,0.8913957861007666,0.8910505139910314,50036,50036,50036,50036,14.338497228357303,14.338497228357305,14.293877787139506,0.6194550600578917,0.5309109108269651,14.29387778713951,0.0,0.0,-0.0003452721097352285
dynamic,29,28056.405913427945,23355.549921125013,28068.710418460723,23355.549921125013,0.5597286062667901,0.4657417177722499,0.8357833333333333,0.8357833333333333,0.8357833333333333,0.8357833333333333,0.8915690698618203,0.8912623029341312,50147,50147,50147,50147,16.791510643238798,16.791510643238794,16.755018468181902,0.5594832375501614,0.4657417177722499,16.75501846818189,0.0,0.0,-0.00030676692768905056
dynamic,30,32509.91211472791,27725.5243481504,32522.740237741284,27725.5243481504,0.6486903669567035,0.553006309800351,0.8356,0.8356,0.8356,0.8356,0.8912848372701827,0.8910017574460523,50136,50136,50136,50136,14.750343465904862,14.750343465904868,14.716704707454584,0.6484345004533252,0.553006309800351,14.71670470745459,0.0,0.0,-0.00028307982413044996
stationary,1,46571.91804567404,39750.42546626266,46594.42336061482,39750.42546626266,0.6879639641007386,0.5869127313114615,0.8466,0.8466,0.8466,0.8466,0.8918773825539551,0.8914777824888774,67728,67728,67728,67728,14.688448532528097,14.688448532528101,14.647222759263213,0.6876316744282135,0.5869127313114615,14.647222759263212,0.0,0.0,-0.00039960006507766543
stationary,2,46711.29517106885,40787.69595748618,46729.829725365256,40787.69595748618,0.691075433315566,0.6031987452858839,0.8452375,0.8452375,0.8452375,0.8452375,0.8921872139241219,0.8919273470863895,67619,67619,67619,67619,12.715932848036132,12.71593284803613,12.681299441364052,0.6908013305589975,0.6031987452858839,12.681299441364052,0.0,0.0,-0.00025986683773238095
stationary,3,43276.67006121504,35788.74451399835,43296.5719651591,35788.74451399835,0.639299696790832,0.5284421486009353,0.8465625,0.8465625,0.8465625,0.8465625,0.8918586208955458,0.8915030069119614,67725,67725,67725,67725,17.34046625493198,17.34046625493198,17.30245311532747,0.6390058333143601,0.5284421486009353,17.302453115327477,0.0,0.0,-0.000355613983584413
stationary,4,45899.17547881739,38369.384778565465,45924.23717359884,38369.384778565465,0.6789207630294168,0.5672336350925515,0.8455375,0.8455375,0.8455375,0.8455375,0.8921048685950292,0.8917247802008229,67643,67643,67643,67643,16.45068673971693,16.450686739716936,16.40506745862341,0.6785502635722453,0.5672336350925515,16.40506745862341,0.0,0.0,-0.0003800883942063349
stationary,5,39763.436889277145,33285.117651491106,39781.47207334301,33285.117651491106,0.588596506330256,0.4924781045392029,0.8448375,0.8448375,0.8448375,0.8448375,0.8920044395885649,0.8916186283524856,67587,67587,67587,67587,16.330100630451568,16.330100630451575,16.29215114333596,0.5883296623504097,0.4924781045392029,16.292151143335957,0.0,0.0,-0.0003858112360792809
stationary,6,45489.39169183161,38706.3272555913,45510.726267066304,38706.3272555913,0.6714576235569469,0.5710666615853185,0.8472375,0.8472375,0.8472375,0.8472375,0.8916039332189893,0.8912257445292008,67779,67779,67779,67779,14.951198474718668,14.951198474718666,14.911310492328091,0.671142856811573,0.5710666615853185,14.911310492328084,0.0,0.0,-0.00037818868978856113
stationary,7,45093.935396354704,38611.152010426566,45117.29930262783,38611.152010426566,0.667593431721876,0.5713230151582753,0.844775,0.844775,0.844775,0.844775,0.8918145871641187,0.8913986089857425,67582,67582,67582,67582,14.420515839303164,14.420515839303164,14.37617570732625,0.6672477197531104,0.5713230151582753,14.376175707326258,0.0,0.0,-0.0004159781783761307
stationary,8,43622.483422020654,37455.34890120008,43641.6806343632,37455.34890120008,0.6443288347363609,0.55299339900195,0.84665,0.84665,0.84665,0.84665,0.8921607398364012,0.8918322207274013,67732,67732,67732,67732,14.175282993781039,14.175282993781046,14.137513587104493,0.6440454057464811,0.55299339900195,14.1375135871045,0.0,0.0,-0.0003285191089998918
