cell_id,seed,method,original_stage,workload,magnitude,duration,heterogeneity,qos,assigned,tasks,payment,pps,coverage,qualified_coverage,quality_violations,deadline_violations,qos_violations,qos_violation_rate,target_violations,ir_violations,design_reserve,reserve_over_budget_slots,settlement_over_reserve_slots,settlement_over_budget_slots,diagnostic_status,execution_status,instrumented_runtime_s,candidate_graph_sha256,window_phase_sha256,config_sha256
E7C004,1,MOI,screening,high,0.0,5,high,strict,2208,3531,792.9764705362361,0.3591378942645997,0.6253186066270179,0.6253186066270179,0,0,0,0.0,0,0,792.9764705362361,0,0,0,ok,completed,7.449041600004421,e60a9613cc052e89d5f54455389db3597a9004f2d0eaa3214d6c414d8926d44a,ec22371983a259c14f4c8d91c29d100c194db3be0b439c722923a20d80c394ef,d7a99782ac7c3c4623f8e79db8a0c8c6202403c5c667da16580a243902e726fd
E7C004,1,PASI,screening,high,0.0,5,high,strict,2208,3531,792.9764705362361,0.3591378942645997,0.6253186066270179,0.6253186066270179,0,0,0,0.0,0,0,792.9764705362361,0,0,0,ok,completed,7.1563063999929,e60a9613cc052e89d5f54455389db3597a9004f2d0eaa3214d6c414d8926d44a,ec22371983a259c14f4c8d91c29d100c194db3be0b439c722923a20d80c394ef,d7a99782ac7c3c4623f8e79db8a0c8c6202403c5c667da16580a243902e726fd
E7C004,2,MOI,screening,high,0.0,5,high,strict,2197,3531,558.6564693522591,0.2542815063050793,0.6222033418295101,0.6222033418295101,0,0,0,0.0,0,0,558.6564693522591,0,0,0,ok,completed,3.8966772999992827,ec6fb6e3e70e4e4cfaf432beb8c8e81197411dc276b4156fadadf46c4149536b,a39b0811c2f464ab764e8dbd8e8b9487ee6f06182940d447e7a4597636aac541,68c725c2f8a65fc65ffe3c1024cb9885322bae907a7cc2db8f80969e97c59dc7
E7C004,2,PASI,screening,high,0.0,5,high,strict,2197,3531,558.6564693522591,0.2542815063050793,0.6222033418295101,0.6222033418295101,0,0,0,0.0,0,0,558.6564693522591,0,0,0,ok,completed,3.9482370000005176,ec6fb6e3e70e4e4cfaf432beb8c8e81197411dc276b4156fadadf46c4149536b,a39b0811c2f464ab764e8dbd8e8b9487ee6f06182940d447e7a4597636aac541,68c725c2f8a65fc65ffe3c1024cb9885322bae907a7cc2db8f80969e97c59dc7
E7C004,3,MOI,screening,high,0.0,5,high,strict,2197,3531,773.447212064131,0.3520469786363819,0.6222033418295101,0.6222033418295101,0,0,0,0.0,0,0,773.447212064131,0,0,0,ok,completed,4.012143400000241,c44b94beec3a0f3f02bc5e6fa6cd1528e66f2f4dc81fc3d375d0a2fa4a82c358,196eb5c9c5c3188bcc0d9b17c0f052bcdd132d6719f36eda010856852aba6a7c,0aee0ef006d54210b6719644a24d85bd839af2ebec017712c6a9d4e8785d7b56
E7C004,3,PASI,screening,high,0.0,5,high,strict,2197,3531,773.447212064131,0.3520469786363819,0.6222033418295101,0.6222033418295101,0,0,0,0.0,0,0,773.447212064131,0,0,0,ok,completed,3.972851599999558,c44b94beec3a0f3f02bc5e6fa6cd1528e66f2f4dc81fc3d375d0a2fa4a82c358,196eb5c9c5c3188bcc0d9b17c0f052bcdd132d6719f36eda010856852aba6a7c,0aee0ef006d54210b6719644a24d85bd839af2ebec017712c6a9d4e8785d7b56
E7C004,4,MOI,screening,high,0.0,5,high,strict,2186,3531,748.2287734638551,0.3422821470557434,0.6190880770320023,0.6190880770320023,0,0,0,0.0,0,0,748.2287734638551,0,0,0,ok,completed,3.9382078999997248,b3523e2089dbd7a32da94bd9af1457f53f613cc29afd93e90d9e37732b37fa40,09efb71e6d62b006f3ec3fe63739503350485a325c5979c3eb9dd05401ca11eb,fe87e569f519f14ffb2224111530b8d5bf2a5ead8a7f6b3f487839830807e9de
E7C004,4,PASI,screening,high,0.0,5,high,strict,2186,3531,748.2287734638551,0.3422821470557434,0.6190880770320023,0.6190880770320023,0,0,0,0.0,0,0,748.2287734638551,0,0,0,ok,completed,3.924632400000519,b3523e2089dbd7a32da94bd9af1457f53f613cc29afd93e90d9e37732b37fa40,09efb71e6d62b006f3ec3fe63739503350485a325c5979c3eb9dd05401ca11eb,fe87e569f519f14ffb2224111530b8d5bf2a5ead8a7f6b3f487839830807e9de
E7C004,5,MOI,screening,high,0.0,5,high,strict,2184,3531,636.9071435149248,0.29162414996104613,0.6185216652506372,0.6185216652506372,0,0,0,0.0,0,0,636.9071435149248,0,0,0,ok,completed,3.7757455999999365,9c91d040fe812b98e9b759b6161595b173d2d116b16ce3708a8597be62bb4e8a,7fae0de04dd792aaec115bd87fa4900b11c746275332ce142fb1f1edf0b209e3,2c7275bf59f8c92571cf6531db2171ec02b3db09110c932a8dd54de1939449f2
E7C004,5,PASI,screening,high,0.0,5,high,strict,2184,3531,636.9071435149248,0.29162414996104613,0.6185216652506372,0.6185216652506372,0,0,0,0.0,0,0,636.9071435149248,0,0,0,ok,completed,3.7699671999998827,9c91d040fe812b98e9b759b6161595b173d2d116b16ce3708a8597be62bb4e8a,7fae0de04dd792aaec115bd87fa4900b11c746275332ce142fb1f1edf0b209e3,2c7275bf59f8c92571cf6531db2171ec02b3db09110c932a8dd54de1939449f2
