workload,seed,method,tasks,assigned,qualified,coverage,qualified_coverage,payment,pps,mean_quality,high_quality_rate,platform_utility,quality_violations,deadline_violations,qos_violations,qos_violation_rate,target_violations,ir_violations,design_reserve,available_budget,slots_reserve_exceeds_budget,slots_settlement_exceeds_reserve,slots_settlement_exceeds_budget,candidate_rows,spatial_candidate_rows,legal_rows,spatial_graph_sha256,config_sha256,mean_runtime_state,diagnostic_status,instrumented_runtime_s,core_protocol_version,decision_cost_basis
high,16,PASI,3531,2507,2507,0.7099971679410931,0.7099971679410931,857.5139009667002,0.34204782647255694,0.8676326630518155,0.8755484642999601,5707.888197140382,0,0,0,0.0,0,0,857.5139009667002,7941.058670738163,0,0,0,23496,6946,6138,2751157e1905b0b1f79d85004bf8e9c476772c898e43bfe8d4a914d9e24c5d53,6eb7d8ce64862783daaf02f3547ea84f45f958d4e9172dcc792a9da63d215a87,0.8213535186432941,ok,3.779506200000469,r51-free-action-design-only-v1,design_expected_payment
high,17,MOI,3531,2510,2510,0.7108467856131407,0.7108467856131407,927.8394818511113,0.3696571640841081,0.868907124731851,0.8752988047808765,5572.470241215565,0,0,0,0.0,0,0,927.8394818511113,7853.88571442252,0,0,0,23496,6962,6216,e09c0cb7bf613f4d92e9b094dd3061dc9256083af3c6f7d97022567875ec36c2,84ea03b049aa4635f0eb2082d8ef979e0c47e1d694d5aa3dadd50fd1a104b13b,0.8087344123793504,ok,3.5364578000007896,r51-free-action-design-only-v1,design_expected_payment
high,17,PASI,3531,2510,2510,0.7108467856131407,0.7108467856131407,838.1924317070302,0.33394120785140646,0.8691523931543845,0.8764940239043825,5656.829960450131,0,0,0,0.0,0,0,838.1924317070302,7853.88571442252,0,0,0,23496,6962,6216,e09c0cb7bf613f4d92e9b094dd3061dc9256083af3c6f7d97022567875ec36c2,84ea03b049aa4635f0eb2082d8ef979e0c47e1d694d5aa3dadd50fd1a104b13b,0.8088827467244066,ok,3.604027599998517,r51-free-action-design-only-v1,design_expected_payment
high,18,MOI,3531,2532,2532,0.7170773152081563,0.7170773152081563,883.0282208553701,0.3487473226127054,0.8679071550739906,0.8700631911532386,5757.413015088003,0,0,0,0.0,0,0,883.0282208553701,7931.179658874222,0,0,0,23496,6920,6089,b2164bc34f219a41bd28af541ef2b26af2810025778734f06f0cca51e19828e2,2b13e3b9ad863f1ccf957113248151666d077cad78dc6b8385db64169c752ee6,0.8268543583815938,ok,3.4726415000041015,r51-free-action-design-only-v1,design_expected_payment
high,18,PASI,3531,2532,2532,0.7170773152081563,0.7170773152081563,766.5249099351245,0.3027349565304599,0.8682064201468623,0.8716429699842022,5865.998272800496,0,0,0,0.0,0,0,766.5249099351245,7931.179658874222,0,0,0,23496,6920,6089,b2164bc34f219a41bd28af541ef2b26af2810025778734f06f0cca51e19828e2,2b13e3b9ad863f1ccf957113248151666d077cad78dc6b8385db64169c752ee6,0.8256301574747935,ok,3.489594600003329,r51-free-action-design-only-v1,design_expected_payment
high,19,MOI,3531,2509,2509,0.7105635797224582,0.7105635797224582,846.541357990792,0.337401896369387,0.8655478189683625,0.8692706257473097,5771.134639972475,0,0,0,0.0,0,0,846.541357990792,7952.171507757129,0,0,0,23496,6948,6209,dbef863e669ee7f9568b8e04bc9cf6844fa03402e63e0d184a565bf06683fcc6,7bfe1996736780429bdd2f4098c2b6eeb93b5c321f34df9bdada308f84262e88,0.8236860693041168,ok,3.6634015000017826,r51-free-action-design-only-v1,design_expected_payment
high,19,PASI,3531,2509,2509,0.7105635797224582,0.7105635797224582,723.6413184862648,0.2884182217960402,0.8658915685646196,0.8712634515743324,5883.709921539334,0,0,0,0.0,0,0,723.6413184862648,7952.171507757129,0,0,0,23496,6948,6209,dbef863e669ee7f9568b8e04bc9cf6844fa03402e63e0d184a565bf06683fcc6,7bfe1996736780429bdd2f4098c2b6eeb93b5c321f34df9bdada308f84262e88,0.823340999377544,ok,3.738062999997055,r51-free-action-design-only-v1,design_expected_payment
high,20,MOI,3531,2486,2486,0.7040498442367601,0.7040498442367601,903.2913917592663,0.36335132411877163,0.8680282406042484,0.8716814159292036,5621.4994267058355,0,0,0,0.0,0,0,903.2913917592663,7956.4290565881365,0,0,0,23496,6975,6133,34b6a1b2e592587dddba2e448ad5dfa4bb26d4bec6d4e018a4813244b3498783,fa37df3d451bfb15fbdba274c9a4df93488b860ef085268d5b30812efec1b932,0.8164347553308997,ok,3.6140443999975105,r51-free-action-design-only-v1,design_expected_payment
high,20,PASI,3531,2486,2486,0.7040498442367601,0.7040498442367601,788.8579653107292,0.3173201791274052,0.8682743268522227,0.8724859211584876,5729.469985499767,0,0,0,0.0,0,0,788.8579653107292,7956.4290565881365,0,0,0,23496,6975,6133,34b6a1b2e592587dddba2e448ad5dfa4bb26d4bec6d4e018a4813244b3498783,fa37df3d451bfb15fbdba274c9a4df93488b860ef085268d5b30812efec1b932,0.816689779148325,ok,3.6134332999936305,r51-free-action-design-only-v1,design_expected_payment
high,21,MOI,3531,2509,2509,0.7105635797224582,0.7105635797224582,854.0340887205707,0.340388237832033,0.8654739237531069,0.858509366281387,5713.855992895457,0,0,0,0.0,0,0,854.0340887205707,7910.357966945778,0,0,0,23496,6868,6191,940b178c7b38e471cbb656ebd731152dde5e08e998c076ff334e990775a3472b,c33fa39e01fc584f017e3c53ebf9a1cb0168f9c85e0bd17f3f61d3cb2b110a49,0.8132181507972189,ok,3.6808961000060663,r51-free-action-design-only-v1,design_expected_payment
