scenario,seed,variant,assigned,tasks,coverage,design_reserve,execution_settlement,design_pps,settlement_pps,mean_H,coverage_first_calls,ir_violations,target_violations
burst,16,FULL_PASI,54617,68800,0.7938517441860465,22799.810699478494,22799.810699478494,0.4174489755841312,0.4174489755841312,0.9212649125380553,1000,0,0
burst,16,MOI,54617,68800,0.7938517441860465,27369.558775133297,27381.035104902458,0.501117944506899,0.5013280682736594,0.9216509241497645,1000,0,0
burst,16,NO_NEGATIVE_FEEDBACK,54617,68800,0.7938517441860465,22709.025938945608,22709.025938945608,0.4157867685692295,0.4157867685692295,0.942070746312984,1000,0,0
burst,16,NO_POSITIVE_ACCUMULATION,54617,68800,0.7938517441860465,27069.724668680883,27069.724668680883,0.4956281866210316,0.4956281866210316,0.06843037243028192,1000,0,0
burst,17,FROZEN_STATE,54544,68800,0.7927906976744186,30580.73937914997,30580.73937914997,0.5606618396001388,0.5606618396001388,0.09999999999999999,1000,0,0
burst,17,FULL_PASI,54544,68800,0.7927906976744186,26129.483340098875,26129.483340098875,0.4790533026565502,0.4790533026565502,0.9166328905000253,1000,0,0
burst,17,MOI,54544,68800,0.7927906976744186,31082.25392113321,31097.838482641768,0.5698565180612571,0.5701422426415695,0.9165996826996835,1000,0,0
burst,17,NO_NEGATIVE_FEEDBACK,54544,68800,0.7927906976744186,26034.259945459555,26034.259945459555,0.47730749386659493,0.47730749386659493,0.9383181309250325,1000,0,0
burst,17,NO_POSITIVE_ACCUMULATION,54544,68800,0.7927906976744186,30762.742718508925,30762.742718508925,0.5639986564701696,0.5639986564701696,0.06761316563928527,1000,0,0
burst,18,FROZEN_STATE,55142,68800,0.8014825581395348,32029.455410350183,32029.455410350183,0.5808540751215078,0.5808540751215078,0.09999999999999998,1000,0,0
burst,18,FULL_PASI,55142,68800,0.8014825581395348,27718.743069683176,27718.743069683176,0.50267932011322,0.50267932011322,0.9166846890688362,1000,0,0
burst,18,MOI,55142,68800,0.8014825581395348,32521.054784126954,32536.511055463758,0.5897692282493735,0.5900495276824156,0.9166532263196743,1000,0,0
burst,18,NO_NEGATIVE_FEEDBACK,55142,68800,0.8014825581395348,27632.97733390294,27632.97733390294,0.5011239587592569,0.5011239587592569,0.9379766516753504,1000,0,0
burst,18,NO_POSITIVE_ACCUMULATION,55142,68800,0.8014825581395348,32196.605876893704,32196.605876893704,0.5838853483169582,0.5838853483169582,0.06901513150816875,1000,0,0
burst,19,FROZEN_STATE,54954,68800,0.79875,29472.21943045424,29472.21943045424,0.5363070828411806,0.5363070828411806,0.09999999999999999,1000,0,0
burst,19,FULL_PASI,54954,68800,0.79875,25170.74492886399,25170.74492886399,0.45803298993456326,0.45803298993456326,0.9184257041190144,1000,0,0
burst,19,MOI,54954,68800,0.79875,29946.633318144002,29958.12985633809,0.5449400101565673,0.5451492130934616,0.9191477709700209,1000,0,0
burst,19,NO_NEGATIVE_FEEDBACK,54954,68800,0.79875,25076.969718397013,25076.969718397013,0.4563265589110349,0.4563265589110349,0.9402067831066027,1000,0,0
burst,19,NO_POSITIVE_ACCUMULATION,54954,68800,0.79875,29637.03361335109,29637.03361335109,0.5393062127115604,0.5393062127115604,0.0673183052147106,1000,0,0
burst,20,FROZEN_STATE,54927,68800,0.7983575581395349,27865.7967098227,27865.7967098227,0.5073242068531452,0.5073242068531452,0.09999999999999999,1000,0,0
burst,20,FULL_PASI,54927,68800,0.7983575581395349,23674.542464472826,23674.542464472826,0.43101830546858244,0.43101830546858244,0.9174662959994633,1000,0,0
burst,20,MOI,54927,68800,0.7983575581395349,28333.81660860397,28345.83425614929,0.5158449689333838,0.516063762014115,0.9178656301693872,1000,0,0
burst,20,NO_NEGATIVE_FEEDBACK,54927,68800,0.7983575581395349,23587.75760358201,23587.75760358201,0.4294383018111677,0.4294383018111677,0.9392273011424637,1000,0,0
burst,20,NO_POSITIVE_ACCUMULATION,54927,68800,0.7983575581395349,28031.952818929487,28031.952818929487,0.5103492420654594,0.5103492420654594,0.06761349868170548,1000,0,0
burst,21,FROZEN_STATE,54532,68800,0.7926162790697674,30566.528224733614,30566.528224733614,0.5605246135247857,0.5605246135247857,0.09999999999999999,1000,0,0
burst,21,FULL_PASI,54532,68800,0.7926162790697674,26006.05601391743,26006.05601391743,0.476895327769336,0.476895327769336,0.9197174499893834,1000,0,0
burst,21,MOI,54532,68800,0.7926162790697674,31081.881675242243,31096.69334010801,0.5699750912352791,0.5702467054226511,0.919902525110031,1000,0,0
burst,21,NO_NEGATIVE_FEEDBACK,54532,68800,0.7926162790697674,25922.48164145873,25922.48164145873,0.4753627529057935,0.4753627529057935,0.9401626285113117,1000,0,0
burst,21,NO_POSITIVE_ACCUMULATION,54532,68800,0.7926162790697674,30741.091370665043,30741.091370665043,0.5637257274749696,0.5637257274749696,0.06770459253411641,1000,0,0
burst,22,FROZEN_STATE,54617,68800,0.7938517441860465,29571.232638890848,29571.232638890848,0.5414290905558864,0.5414290905558864,0.09999999999999999,1000,0,0
burst,22,FULL_PASI,54617,68800,0.7938517441860465,25668.09635663315,25668.09635663315,0.46996532868215296,0.46996532868215296,0.9152058571662242,1000,0,0
burst,22,MOI,54617,68800,0.7938517441860465,30013.93288524602,30027.930086501936,0.5495346299731956,0.5497909091766654,0.9142826766472801,1000,0,0
burst,22,NO_NEGATIVE_FEEDBACK,54617,68800,0.7938517441860465,25571.683887396957,25571.683887396957,0.46820008216117615,0.46820008216117615,0.9372194208241481,1000,0,0
burst,22,NO_POSITIVE_ACCUMULATION,54617,68800,0.7938517441860465,29726.277688779683,29726.277688779683,0.544267859618428,0.544267859618428,0.06872258630650843,1000,0,0
burst,23,FROZEN_STATE,54915,68800,0.7981831395348837,31325.79203436013,31325.79203436013,0.570441446496588,0.570441446496588,0.09999999999999999,1000,0,0
burst,23,FULL_PASI,54915,68800,0.7981831395348837,26958.265227869055,26958.265227869055,0.4909089543452436,0.4909089543452436,0.9211720358298042,1000,0,0
burst,23,MOI,54915,68800,0.7981831395348837,31817.80491278741,31834.965625501703,0.579400981749748,0.579713477656409,0.9196415073857852,1000,0,0
burst,23,NO_NEGATIVE_FEEDBACK,54915,68800,0.7981831395348837,26866.959359527136,26866.959359527136,0.4892462780574913,0.4892462780574913,0.9420616806777939,1000,0,0
burst,23,NO_POSITIVE_ACCUMULATION,54915,68800,0.7981831395348837,31505.12943324019,31505.12943324019,0.5737071735088808,0.5737071735088808,0.06753605161997307,1000,0,0
burst,24,FROZEN_STATE,54895,68800,0.7978924418604652,29937.94205204656,29937.94205204656,0.545367375025896,0.545367375025896,0.09999999999999998,1000,0,0
burst,24,FULL_PASI,54895,68800,0.7978924418604652,25306.238679425936,25306.238679425936,0.4609935090522987,0.4609935090522987,0.921423233613376,1000,0,0
burst,24,MOI,54895,68800,0.7978924418604652,30465.66426295646,30482.448570358312,0.5549806769825386,0.5552864299181768,0.9222338618603224,1000,0,0
burst,24,NO_NEGATIVE_FEEDBACK,54895,68800,0.7978924418604652,25223.870565347872,25223.870565347872,0.45949304245100414,0.45949304245100414,0.9407521121374681,1000,0,0
burst,24,NO_POSITIVE_ACCUMULATION,54895,68800,0.7978924418604652,30104.562455599917,30104.562455599917,0.5484026314892051,0.5484026314892051,0.06974761011548046,1000,0,0
burst,25,FROZEN_STATE,54789,68800,0.7963517441860465,30037.08950905667,30037.08950905667,0.5482321179261653,0.5482321179261653,0.09999999999999998,1000,0,0
burst,25,FULL_PASI,54789,68800,0.7963517441860465,25272.49119213999,25272.49119213999,0.4612694371523479,0.4612694371523479,0.9224993548788322,1000,0,0
burst,25,MOI,54789,68800,0.7963517441860465,30579.95761400526,30596.78575311986,0.558140459106851,0.5584476035904992,0.9227413828078758,1000,0,0
burst,25,NO_NEGATIVE_FEEDBACK,54789,68800,0.7963517441860465,25190.357050449882,25190.357050449882,0.4597703380322671,0.4597703380322671,0.9418343874004899,1000,0,0
burst,25,NO_POSITIVE_ACCUMULATION,54789,68800,0.7963517441860465,30212.169241955256,30212.169241955256,0.5514276450009172,0.5514276450009172,0.06844152258388829,1000,0,0
burst,26,FROZEN_STATE,54752,68800,0.7958139534883721,32322.948996335515,32322.948996335515,0.5903519322825744,0.5903519322825744,0.09999999999999999,1000,0,0
burst,26,FULL_PASI,54752,68800,0.7958139534883721,27484.975148700323,27484.975148700323,0.5019903409683724,0.5019903409683724,0.9158316372937015,1000,0,0
burst,26,MOI,54752,68800,0.7958139534883721,32874.58226714997,32891.10939067583,0.6004270577723183,0.600728912015558,0.9160599137433291,1000,0,0
burst,26,NO_NEGATIVE_FEEDBACK,54752,68800,0.7958139534883721,27378.47403843153,27378.47403843153,0.5000451862659178,0.5000451862659178,0.9382467156611444,1000,0,0
