scenario,seed,design_reserve__FROZEN_STATE,design_reserve__FULL_PASI,design_reserve__MOI,design_reserve__NO_NEGATIVE_FEEDBACK,design_reserve__NO_POSITIVE_ACCUMULATION,execution_settlement__FROZEN_STATE,execution_settlement__FULL_PASI,execution_settlement__MOI,execution_settlement__NO_NEGATIVE_FEEDBACK,execution_settlement__NO_POSITIVE_ACCUMULATION,design_pps__FROZEN_STATE,design_pps__FULL_PASI,design_pps__MOI,design_pps__NO_NEGATIVE_FEEDBACK,design_pps__NO_POSITIVE_ACCUMULATION,settlement_pps__FROZEN_STATE,settlement_pps__FULL_PASI,settlement_pps__MOI,settlement_pps__NO_NEGATIVE_FEEDBACK,settlement_pps__NO_POSITIVE_ACCUMULATION,coverage__FROZEN_STATE,coverage__FULL_PASI,coverage__MOI,coverage__NO_NEGATIVE_FEEDBACK,coverage__NO_POSITIVE_ACCUMULATION,mean_H__FROZEN_STATE,mean_H__FULL_PASI,mean_H__MOI,mean_H__NO_NEGATIVE_FEEDBACK,mean_H__NO_POSITIVE_ACCUMULATION,design_reserve_degradation_pct__NO_POSITIVE_ACCUMULATION,execution_settlement_degradation_pct__NO_POSITIVE_ACCUMULATION,design_pps_degradation_pct__NO_POSITIVE_ACCUMULATION,settlement_pps_degradation_pct__NO_POSITIVE_ACCUMULATION,coverage_diff_pp__NO_POSITIVE_ACCUMULATION,design_reserve_degradation_pct__NO_NEGATIVE_FEEDBACK,execution_settlement_degradation_pct__NO_NEGATIVE_FEEDBACK,design_pps_degradation_pct__NO_NEGATIVE_FEEDBACK,settlement_pps_degradation_pct__NO_NEGATIVE_FEEDBACK,coverage_diff_pp__NO_NEGATIVE_FEEDBACK,design_reserve_degradation_pct__FROZEN_STATE,execution_settlement_degradation_pct__FROZEN_STATE,design_pps_degradation_pct__FROZEN_STATE,settlement_pps_degradation_pct__FROZEN_STATE,coverage_diff_pp__FROZEN_STATE
burst,19,29472.21943045424,25170.74492886399,29946.633318144002,25076.969718397013,29637.03361335109,29472.21943045424,25170.74492886399,29958.12985633809,25076.969718397013,29637.03361335109,0.5363070828411806,0.45803298993456326,0.5449400101565673,0.4563265589110349,0.5393062127115604,0.5363070828411806,0.45803298993456326,0.5451492130934616,0.4563265589110349,0.5393062127115604,0.79875,0.79875,0.79875,0.79875,0.79875,0.09999999999999999,0.9184257041190144,0.9191477709700209,0.9402067831066027,0.0673183052147106,17.743967042332077,17.743967042332077,17.7439670423321,17.7439670423321,0.0,-0.37255635751742844,-0.37255635751742844,-0.37255635751742844,-0.37255635751742844,0.0,17.089182357323196,17.089182357323196,17.089182357323196,17.089182357323196,0.0
burst,20,27865.7967098227,23674.542464472826,28333.81660860397,23587.75760358201,28031.952818929487,27865.7967098227,23674.542464472826,28345.83425614929,23587.75760358201,28031.952818929487,0.5073242068531452,0.43101830546858244,0.5158449689333838,0.4294383018111677,0.5103492420654594,0.5073242068531452,0.43101830546858244,0.516063762014115,0.4294383018111677,0.5103492420654594,0.7983575581395349,0.7983575581395349,0.7983575581395349,0.7983575581395349,0.7983575581395349,0.09999999999999999,0.9174662959994633,0.9178656301693872,0.9392273011424637,0.06761349868170548,18.405468071856525,18.405468071856525,18.405468071856525,18.405468071856525,0.0,-0.3665746065464659,-0.3665746065464659,-0.366574606546477,-0.366574606546477,0.0,17.703633561829022,17.703633561829022,17.703633561829022,17.703633561829022,0.0
burst,21,30566.528224733614,26006.05601391743,31081.881675242243,25922.48164145873,30741.091370665043,30566.528224733614,26006.05601391743,31096.69334010801,25922.48164145873,30741.091370665043,0.5605246135247857,0.476895327769336,0.5699750912352791,0.4753627529057935,0.5637257274749696,0.5605246135247857,0.476895327769336,0.5702467054226511,0.4753627529057935,0.5637257274749696,0.7926162790697674,0.7926162790697674,0.7926162790697674,0.7926162790697674,0.7926162790697674,0.09999999999999999,0.9197174499893834,0.919902525110031,0.9401626285113117,0.06770459253411641,18.20743350784757,18.20743350784757,18.20743350784757,18.20743350784757,0.0,-0.32136504056583526,-0.32136504056583526,-0.32136504056583526,-0.32136504056583526,0.0,17.536193140457733,17.536193140457733,17.536193140457712,17.536193140457712,0.0
burst,22,29571.232638890848,25668.09635663315,30013.93288524602,25571.683887396957,29726.277688779683,29571.232638890848,25668.09635663315,30027.930086501936,25571.683887396957,29726.277688779683,0.5414290905558864,0.46996532868215296,0.5495346299731956,0.46820008216117615,0.544267859618428,0.5414290905558864,0.46996532868215296,0.5497909091766654,0.46820008216117615,0.544267859618428,0.7938517441860465,0.7938517441860465,0.7938517441860465,0.7938517441860465,0.7938517441860465,0.09999999999999999,0.9152058571662242,0.9142826766472801,0.9372194208241481,0.06872258630650843,15.81021543538743,15.81021543538743,15.810215435387454,15.810215435387454,0.0,-0.37561207460278245,-0.37561207460278245,-0.37561207460278245,-0.37561207460278245,0.0,15.20617745869204,15.20617745869204,15.206177458692016,15.206177458692016,0.0
burst,23,31325.79203436013,26958.265227869055,31817.80491278741,26866.959359527136,31505.12943324019,31325.79203436013,26958.265227869055,31834.965625501703,26866.959359527136,31505.12943324019,0.570441446496588,0.4909089543452436,0.579400981749748,0.4892462780574913,0.5737071735088808,0.570441446496588,0.4909089543452436,0.579713477656409,0.4892462780574913,0.5737071735088808,0.7981831395348837,0.7981831395348837,0.7981831395348837,0.7981831395348837,0.7981831395348837,0.09999999999999999,0.9211720358298042,0.9196415073857852,0.9420616806777939,0.06753605161997307,16.86630859566829,16.86630859566829,16.86630859566829,16.86630859566829,0.0,-0.3386934120951035,-0.3386934120951035,-0.3386934120951035,-0.3386934120951035,0.0,16.201067722918584,16.201067722918584,16.201067722918584,16.201067722918584,0.0
burst,24,29937.94205204656,25306.238679425936,30465.66426295646,25223.870565347872,30104.562455599917,29937.94205204656,25306.238679425936,30482.448570358312,25223.870565347872,30104.562455599917,0.545367375025896,0.4609935090522987,0.5549806769825386,0.45949304245100414,0.5484026314892051,0.545367375025896,0.4609935090522987,0.5552864299181768,0.45949304245100414,0.5484026314892051,0.7978924418604652,0.7978924418604652,0.7978924418604652,0.7978924418604652,0.7978924418604652,0.09999999999999998,0.921423233613376,0.9222338618603224,0.9407521121374681,0.06974761011548046,18.961031060198753,18.961031060198753,18.961031060198728,18.961031060198728,0.0,-0.32548540745815924,-0.32548540745815924,-0.32548540745815924,-0.32548540745815924,0.0,18.30261474766779,18.30261474766779,18.30261474766781,18.30261474766781,0.0
burst,25,30037.08950905667,25272.49119213999,30579.95761400526,25190.357050449882,30212.169241955256,30037.08950905667,25272.49119213999,30596.78575311986,25190.357050449882,30212.169241955256,0.5482321179261653,0.4612694371523479,0.558140459106851,0.4597703380322671,0.5514276450009172,0.5482321179261653,0.4612694371523479,0.5584476035904992,0.4597703380322671,0.5514276450009172,0.7963517441860465,0.7963517441860465,0.7963517441860465,0.7963517441860465,0.7963517441860465,0.09999999999999998,0.9224993548788322,0.9227413828078758,0.9418343874004899,0.06844152258388829,19.545671268654186,19.545671268654186,19.545671268654186,19.545671268654186,0.0,-0.32499424400097565,-0.32499424400097565,-0.32499424400097565,-0.32499424400097565,0.0,18.852903264235856,18.852903264235856,18.852903264235877,18.852903264235877,0.0
burst,26,32322.948996335515,27484.975148700323,32874.58226714997,27378.47403843153,32532.45641597113,32322.948996335515,27484.975148700323,32891.10939067583,27378.47403843153,32532.45641597113,0.5903519322825744,0.5019903409683724,0.6004270577723183,0.5000451862659178,0.5941784120392155,0.5903519322825744,0.5019903409683724,0.600728912015558,0.5000451862659178,0.5941784120392155,0.7958139534883721,0.7958139534883721,0.7958139534883721,0.7958139534883721,0.7958139534883721,0.09999999999999999,0.9158316372937015,0.9160599137433291,0.9382467156611444,0.06660756473462172,18.36451093720377,18.36451093720377,18.364510937203747,18.364510937203747,0.0,-0.387488472129216,-0.387488472129216,-0.387488472129216,-0.387488472129216,0.0,17.602249306978045,17.602249306978045,17.602249306978045,17.602249306978045,0.0
burst,27,30608.78851016188,26174.248851060627,31113.034773278916,26067.606342160772,30792.228557433144,30608.78851016188,26174.248851060627,31125.95545037477,26067.606342160772,30792.228557433144,0.5567866356852672,0.4761205088052648,0.5659590856273677,0.4741806370677188,0.5601234866924936,0.5567866356852672,0.4761205088052648,0.5661941181353871,0.4741806370677188,0.5601234866924936,0.7990406976744187,0.7990406976744187,0.7990406976744187,0.7990406976744187,0.7990406976744187,0.09999999999999999,0.915460205786829,0.9152932711819842,0.9383046319647512,0.06715948073030101,17.64321770091748,17.64321770091748,17.643217700917457,17.643217700917457,0.0,-0.4074329296198109,-0.4074329296198109,-0.4074329296197998,-0.4074329296197998,0.0,16.9423760136733,16.9423760136733,16.9423760136733,16.9423760136733,0.0
burst,28,30836.371307419926,26471.94129880298,31325.496218146298,26373.779529515377,31010.72501322389,30836.371307419926,26471.94129880298,31341.648017495732,26373.779529515377,31010.72501322389,0.563026005722579,0.4833380433968665,0.5719566948117786,0.4815457563496755,0.5662094435396646,0.563026005722579,0.4833380433968665,0.572251602503163,0.4815457563496755,0.5662094435396646,0.7960610465116279,0.7960610465116279,0.7960610465116279,0.7960610465116279,0.7960610465116279,0.09999999999999999,0.9172858189980498,0.9180220369298832,0.9393208030917174,0.06730104204408464,17.145639842538294,17.145639842538294,17.145639842538294,17.145639842538294,0.0,-0.37081439619255363,-0.37081439619255363,-0.37081439619255363,-0.37081439619255363,0.0,16.48700395393481,16.48700395393481,16.48700395393481,16.48700395393481,0.0
