workload,seed,method,N,M,tasks,assigned,qualified,payment,pps,service_coverage,mean_quality,qos_violations,qos_violation_rate,ir_violations,under_incentive_rate,target_violations,target_miss_rate,legal_edge_rate,platform_utility,mean_base_payment,negative_intercept_rate,core_runtime_s,instrumented_runtime_s,event_tape_hash,diagnostic_status,execution_status,decision_cost_basis,contract_protocol_version,design_reserve,available_budget,reserve_over_budget_slots,settlement_over_reserve_slots,settlement_over_budget_slots,candidate_rows,legal_rows,candidate_graph_sha256,config_sha256
high,7,QUAC-F,34,4,3531,2484,2484,216.73699708759347,0.08725321943944987,0.703483432455395,0.8750441807312123,0,0.0,0,0.0,0,0.0,0.2597037793667007,6227.810936629061,-0.41655105531471665,1.0,3.716101100002561,3.8367775000006077,924e0b3a2da73a8d5e6ae90365cefcf0203c49b4b0fe24d1888d5a023ad88ff6,ok,completed,design_expected_payment,r51-free-action-design-only-v1,216.73699708759347,7975.040676059589,0,0,0,23496,6102,a4a74c297dd7facbcadc3f2bfea242294af7bea2cb4a29c627d99e29a9dfb6e7,543e711cbdd506bd2ea6f0dba6158e0edf442316f00446af0af42e46b7e24bcf
high,8,MOI,34,4,3531,2541,2541,930.369854560787,0.3661431934517068,0.719626168224299,0.8671280651697293,0,0.0,0,0.0,0,0.0,0.2631086142322097,5734.864495299987,0.0,0.0,3.841636600001948,3.9704930000007153,49db6685984d132c90885f06d2564667bee08397c4f2060f3d7a86ab97891ea2,ok,completed,design_expected_payment,r51-free-action-design-only-v1,930.369854560787,7912.833095683789,0,0,0,23496,6182,2e4d842490f744be05f504ad4e589f453696f55663201363d55bb7b564314928,91a9e559143595592c592e7b22af6c64b726cc047a5177a52818ca53c45be89e
high,8,PASI,34,4,3531,2541,2541,789.5089674720455,0.3107079761794748,0.719626168224299,0.8675490289025215,0,0.0,0,0.0,0,0.0,0.2631086142322097,5865.253610342905,0.0,0.0,3.8123741000017617,3.945016300000134,49db6685984d132c90885f06d2564667bee08397c4f2060f3d7a86ab97891ea2,ok,completed,design_expected_payment,r51-free-action-design-only-v1,789.5089674720455,7912.833095683789,0,0,0,23496,6182,2e4d842490f744be05f504ad4e589f453696f55663201363d55bb7b564314928,91a9e559143595592c592e7b22af6c64b726cc047a5177a52818ca53c45be89e
high,8,QUAC-F,34,4,3531,2541,2541,242.632786102787,0.09548712558157695,0.719626168224299,0.8754342394602069,0,0.0,0,0.0,0,0.0,0.2631086142322097,6300.617506480425,-0.4554003115418526,1.0,3.680718200001138,3.7972689000016544,49db6685984d132c90885f06d2564667bee08397c4f2060f3d7a86ab97891ea2,ok,completed,design_expected_payment,r51-free-action-design-only-v1,242.632786102787,7912.833095683789,0,0,0,23496,6182,2e4d842490f744be05f504ad4e589f453696f55663201363d55bb7b564314928,91a9e559143595592c592e7b22af6c64b726cc047a5177a52818ca53c45be89e
high,9,MOI,34,4,3531,2494,2494,1007.2275597944708,0.4038602886104534,0.7063154913622204,0.8672110583356922,0,0.0,0,0.0,0,0.0,0.2591930541368744,5508.337625326227,0.0,0.0,3.509180600001855,3.703593700000056,1fde485430f548883cdf32ed5d2c48264bdc7f4259f8f859d3c62127552383fd,ok,completed,design_expected_payment,r51-free-action-design-only-v1,1007.2275597944708,7889.860852122323,0,0,0,23496,6090,05644c349dadd2679e3020242271f6c70707fe1f74822a0aab58fe3b5ac86b1b,4f12ff12d2bbb6dd4806e31685112584552ef44c3443d3d10a95f95337930c5c
high,9,PASI,34,4,3531,2494,2494,854.7103543427188,0.3427066376674895,0.7063154913622204,0.8676923340705317,0,0.0,0,0.0,0,0.0,0.2591930541368744,5653.170332123573,0.0,0.0,3.59928249999939,3.808600000000297,1fde485430f548883cdf32ed5d2c48264bdc7f4259f8f859d3c62127552383fd,ok,completed,design_expected_payment,r51-free-action-design-only-v1,854.7103543427188,7889.860852122323,0,0,0,23496,6090,05644c349dadd2679e3020242271f6c70707fe1f74822a0aab58fe3b5ac86b1b,4f12ff12d2bbb6dd4806e31685112584552ef44c3443d3d10a95f95337930c5c
high,9,QUAC-F,34,4,3531,2494,2494,246.5382752494167,0.09885255623473004,0.7063154913622204,0.874877223396197,0,0.0,0,0.0,0,0.0,0.2591930541368744,6160.795872717568,-0.4763759192951236,1.0,3.4677641000016592,3.6584774000002653,1fde485430f548883cdf32ed5d2c48264bdc7f4259f8f859d3c62127552383fd,ok,completed,design_expected_payment,r51-free-action-design-only-v1,246.5382752494167,7889.860852122323,0,0,0,23496,6090,05644c349dadd2679e3020242271f6c70707fe1f74822a0aab58fe3b5ac86b1b,4f12ff12d2bbb6dd4806e31685112584552ef44c3443d3d10a95f95337930c5c
high,10,MOI,34,4,3531,2501,2501,814.3842410861423,0.3256234470556347,0.708297932596998,0.8665379277126953,0,0.0,0,0.0,0,0.0,0.2662580864828056,5711.547457919197,2.1407209481426893e-06,0.0,3.8573756000005233,3.9624282000004314,432cd91c3fd944112ee4b5e4efb3c614d83106ada73a296243fc72ba1bfe0516,ok,completed,design_expected_payment,r51-free-action-design-only-v1,814.3842410861423,7895.696114474589,0,0,0,23496,6256,ae2f818058c1f2abf5435b1a214d3adaed90fbe8b8524612ee7f9075b830725b,14103d0b41df1dd34250de06225a9cb5bbc43a215669f94cbec28fcaa4aaf681
high,10,PASI,34,4,3531,2501,2501,697.8887505496432,0.2790438826667906,0.708297932596998,0.8667573688683915,0,0.0,0,0.0,0,0.0,0.2662580864828056,5822.51079799844,0.0,0.0,3.7902041000015743,3.912564599999314,432cd91c3fd944112ee4b5e4efb3c614d83106ada73a296243fc72ba1bfe0516,ok,completed,design_expected_payment,r51-free-action-design-only-v1,697.8887505496432,7895.696114474589,0,0,0,23496,6256,ae2f818058c1f2abf5435b1a214d3adaed90fbe8b8524612ee7f9075b830725b,14103d0b41df1dd34250de06225a9cb5bbc43a215669f94cbec28fcaa4aaf681
high,10,QUAC-F,34,4,3531,2501,2501,220.57752814348913,0.08819573296420997,0.708297932596998,0.8753593034041967,0,0.0,0,0.0,0,0.0,0.2662580864828056,6191.155451459345,-0.43410060415210755,1.0,3.773653500000364,3.8975500000015018,432cd91c3fd944112ee4b5e4efb3c614d83106ada73a296243fc72ba1bfe0516,ok,completed,design_expected_payment,r51-free-action-design-only-v1,220.57752814348913,7895.696114474589,0,0,0,23496,6256,ae2f818058c1f2abf5435b1a214d3adaed90fbe8b8524612ee7f9075b830725b,14103d0b41df1dd34250de06225a9cb5bbc43a215669f94cbec28fcaa4aaf681
