window,seed,scenario,profile,tasks,assigned,qualified,coverage,qualified_coverage,qos_violations,qos_violation_rate,ir_violations,target_violations,design_reserve,execution_payment,pps,settlement_over_reserve_slots,reserve_over_budget_slots,settlement_over_budget_slots,run_status,source,redistributable,config_sha256,preregistration_sha256,runner_sha256
w02,2,stable,frozen_point,1864,1470,1470,0.7886266094420601,0.7886266094420601,0,0.0,0,0,467.39854019143615,467.39854019143615,0.31795819060641917,0,0,0,ok,geolife,False,6efac0c457ee9c0cd61654d94993631e49ed738851a3dc1bc130ae269f209060,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w02,2,up_step,fixed_envelope,1864,988,988,0.5300429184549357,0.5300429184549357,0,0.0,0,0,627.8265434196193,616.939866581447,0.6244330633415455,0,0,0,ok,geolife,False,c7d840c06c2eaf9adca42f80cd261439209261a0fb8ce08fd04d503406dfd37a,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w02,2,up_step,frozen_point,1864,1470,1470,0.7886266094420601,0.7886266094420601,0,0.0,0,747,467.0946995981551,473.1081900536441,0.32184230615894155,266,0,0,failed,geolife,False,6efac0c457ee9c0cd61654d94993631e49ed738851a3dc1bc130ae269f209060,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w02,11,down_step,fixed_envelope,1864,1031,1031,0.5531115879828327,0.5531115879828327,0,0.0,0,0,613.2390944980154,567.8914624679853,0.5508161614626433,0,0,0,ok,geolife,False,893123ede1d86ba58523e727cb95a92b29b5d7d479a184a3fca8061353ea954e,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w02,11,down_step,frozen_point,1864,1487,1237,0.7977467811158798,0.6636266094420601,250,0.16812373907195696,0,0,440.8514169806217,418.83654574713864,0.2816654645239668,0,0,0,failed,geolife,False,cbc622f5021ea0b8e3ba85943c02989c3de899db1879c349071936ee4eb7230f,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w02,11,stable,fixed_envelope,1864,1031,1031,0.5531115879828327,0.5531115879828327,0,0.0,0,0,612.6693493192099,591.5647970193122,0.5737776886705259,0,0,0,ok,geolife,False,893123ede1d86ba58523e727cb95a92b29b5d7d479a184a3fca8061353ea954e,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w02,11,stable,frozen_point,1864,1487,1487,0.7977467811158798,0.7977467811158798,0,0.0,0,0,439.8977646537562,439.8977646537562,0.29582902801194094,0,0,0,ok,geolife,False,cbc622f5021ea0b8e3ba85943c02989c3de899db1879c349071936ee4eb7230f,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w02,11,up_step,fixed_envelope,1864,1031,1031,0.5531115879828327,0.5531115879828327,0,0.0,0,0,612.4216262207601,602.1781733909413,0.5840719431531923,0,0,0,ok,geolife,False,893123ede1d86ba58523e727cb95a92b29b5d7d479a184a3fca8061353ea954e,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w02,11,up_step,frozen_point,1864,1487,1487,0.7977467811158798,0.7977467811158798,0,0.0,0,759,439.64933144431086,445.80622563613656,0.2998024382220152,272,0,0,failed,geolife,False,cbc622f5021ea0b8e3ba85943c02989c3de899db1879c349071936ee4eb7230f,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w02,23,down_step,fixed_envelope,1864,959,959,0.5144849785407726,0.5144849785407726,0,0.0,0,0,667.5734945220507,620.2306319920232,0.6467472700646748,0,0,0,ok,geolife,False,4bf58c6706862668ad3aee0e71b7a1899780e9b429699a3148ba58238f62a204,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
