window,scenario,profile,seeds,coverage,qualified_coverage,tasks,assigned,qualified,qos_violations,ir_violations,target_violations,pps,design_reserve,execution_payment,settlement_over_reserve_slots,reserve_over_budget_slots,settlement_over_budget_slots,qos_violation_rate
w05,stable,fixed_envelope,3,0.5352871820784908,0.5352871820784908,5937,3178,3178,0,0,0,0.6615221203078163,725.304727646279,700.9885451715071,0,0,0,0.0
w05,stable,frozen_point,3,0.7808657571163887,0.7808657571163887,5937,4636,4636,0,0,0,0.33941816594825314,524.6428295732563,524.6428295732563,0,0,0,0.0
w05,up_step,fixed_envelope,3,0.5352871820784908,0.5352871820784908,5937,3178,3178,0,0,0,0.6736845700753505,724.9469066416746,713.8738353861833,0,0,0,0.0
w05,up_step,frozen_point,3,0.7808657571163887,0.7808657571163887,5937,4636,4636,0,0,2574,0.34427728271374974,524.2827042748198,532.1523408198195,823,0,0,0.0
w06,down_step,fixed_envelope,3,0.5372331484283074,0.5372331484283074,5949,3196,3196,0,0,0,0.560384112010284,644.208768943929,597.4657072099125,0,0,0,0.0
w06,down_step,frozen_point,3,0.7804673054294838,0.6419566313666162,5949,4643,3819,824,0,0,0.281142578460248,458.3631589251922,435.2801880452715,0,0,0,0.17747146241654102
w06,stable,fixed_envelope,3,0.5372331484283074,0.5372331484283074,5949,3196,3196,0,0,0,0.5834986287963927,643.5379616628102,622.1105165867951,0,0,0,0.0
w06,stable,frozen_point,3,0.7804673054294838,0.7804673054294838,5949,4643,4643,0,0,0,0.2953522962755311,457.2717186811544,457.2717186811544,0,0,0,0.0
w06,up_step,fixed_envelope,3,0.5372331484283074,0.5372331484283074,5949,3196,3196,0,0,0,0.5936946416503431,643.2492758461957,632.9819509012481,0,0,0,0.0
w06,up_step,frozen_point,3,0.7804673054294838,0.7804673054294838,5949,4643,4643,0,0,2449,0.29935760608488127,456.98636598388583,463.4699246015476,763,0,0,0.0
