seed,scenario,assignment_loss_pp,qualified_coverage_loss_pp,robust_minus_point_pps,point_qos_violations,robust_qos_violations
15,down_step,24.76083286437817,8.61001688238604,0.3377850632638406,287,0
15,stable,24.76083286437817,24.76083286437817,0.3468328756100181,0,0
15,up_step,24.76083286437817,24.76083286437817,0.3538095968065838,0,0
16,down_step,25.83005064715813,10.579628587507028,0.318056112718087,271,0
16,stable,25.83005064715813,25.83005064715813,0.3283779615168093,0,0
16,up_step,25.83005064715813,25.83005064715813,0.3358561804881894,0,0
17,down_step,25.21102982554868,9.848058525604952,0.296108361506213,273,0
17,stable,25.21102982554868,25.21102982554868,0.3050828481228995,0,0
17,up_step,25.21102982554868,25.21102982554868,0.3113761264697227,0,0
18,down_step,24.929656724817107,10.467079347214403,0.2750470795144369,257,0
18,stable,24.929656724817107,24.929656724817107,0.28440630293763697,0,0
18,up_step,24.929656724817107,24.929656724817107,0.2908761224254522,0,0
19,down_step,25.323579065841308,10.467079347214414,0.28080954326982777,264,0
19,stable,25.323579065841308,25.323579065841308,0.29070043609386315,0,0
19,up_step,25.323579065841308,25.323579065841308,0.2972208662426875,0,0
20,down_step,24.873382104670792,9.848058525604952,0.2795930644527855,267,0
20,stable,24.873382104670792,24.873382104670792,0.2884952094310119,0,0
20,up_step,24.873382104670792,24.873382104670792,0.2948096869397852,0,0
21,down_step,25.21102982554868,9.285312324141815,0.27534927244447865,283,0
21,stable,25.21102982554868,25.21102982554868,0.2835832695882403,0,0
21,up_step,25.21102982554868,25.21102982554868,0.2893550388870029,0,0
22,down_step,24.648283624085543,10.016882386043902,0.3266244458276278,260,0
22,stable,24.648283624085543,24.648283624085543,0.3367811457080188,0,0
22,up_step,24.648283624085543,24.648283624085543,0.343951319144999,0,0
23,down_step,24.76083286437817,9.904333145751265,0.314715578935856,264,0
23,stable,24.76083286437817,24.76083286437817,0.32405640003553776,0,0
23,up_step,24.76083286437817,24.76083286437817,0.3308683247416853,0,0
24,down_step,23.522791221159256,9.116488463702865,0.2954788495305801,256,0
24,stable,23.522791221159256,23.522791221159256,0.30480234271075973,0,0
24,up_step,23.522791221159256,23.522791221159256,0.31094771049986997,0,0
25,down_step,23.297692740573993,10.579628587507028,0.2661323212702161,226,0
25,stable,23.297692740573993,23.297692740573993,0.27510505189891094,0,0
25,up_step,23.297692740573993,23.297692740573993,0.28126922480896216,0,0
26,down_step,26.111423747889706,10.467079347214414,0.2811310542736535,278,0
26,stable,26.111423747889706,26.111423747889706,0.289832269633966,0,0
26,up_step,26.111423747889706,26.111423747889706,0.29578286061666365,0,0
27,down_step,24.254361283061343,9.622960045019703,0.271747325153686,260,0
27,stable,24.254361283061343,24.254361283061343,0.27949740564249403,0,0
27,up_step,24.254361283061343,24.254361283061343,0.28501775217054776,0,0
28,down_step,27.293190770962305,11.59257175014069,0.31697369447772406,279,0
28,stable,27.293190770962305,27.293190770962305,0.3272518508411855,0,0
28,up_step,27.293190770962305,27.293190770962305,0.33450832977523176,0,0
29,down_step,23.297692740574007,9.003939223410251,0.27343480575525314,254,0
29,stable,23.297692740574007,23.297692740574007,0.28179537004937366,0,0
29,up_step,23.297692740574007,23.297692740574007,0.28725411197013767,0,0
30,down_step,23.522791221159256,8.61001688238604,0.2689698382368506,265,0
30,stable,23.522791221159256,23.522791221159256,0.27805042949483094,0,0
30,up_step,23.522791221159256,23.522791221159256,0.28414971014141854,0,0
