scenario,method,seed,condition,assigned,tasks,coverage,design_reserve,execution_settlement,design_pps,settlement_pps,coverage_first_calls,ir_violations,target_violations,event_fingerprints
stationary,PASI,606,reset,67527,80000,0.8440875,37670.2015999563,37670.2015999563,0.5578539191724243,0.5578539191724243,1000,0,0,"{""provider_static"": ""8065fdc5728c953718f07dcc3af4d8e0bf7b08593dbc56948a252de964f64127"", ""providers"": ""c442425a3b18fd4f0ca4769d1fe7a92f019197a83ac4ce827b1f9380c406a246"", ""tasks"": ""b34ad99e66e6edbdf24f3b770c837f815f89ba4c2dbe3355f401f5a4da9f9ee2""}"
stationary,MOI,607,normal,67722,80000,0.846525,39578.54946239707,39597.729107782,0.5844267662265892,0.5847099776702105,1000,0,0,"{""provider_static"": ""30cd247e39e223c81105e6f05ec747db8d1fdefd2f4e87788be629cd49d25d7e"", ""providers"": ""35ee87c5f0f1ade32d239f1c8785d27ae9fb04586a27e3f527236da7e61a80f8"", ""tasks"": ""85eb302331ac298db602ec21561f24e2973c2651293e3ddf1d86c5a2f7c32248""}"
stationary,MOI,607,reset,67722,80000,0.846525,39578.54946239707,39597.548422187945,0.5844267662265892,0.5847073096215106,1000,0,0,"{""provider_static"": ""30cd247e39e223c81105e6f05ec747db8d1fdefd2f4e87788be629cd49d25d7e"", ""providers"": ""35ee87c5f0f1ade32d239f1c8785d27ae9fb04586a27e3f527236da7e61a80f8"", ""tasks"": ""85eb302331ac298db602ec21561f24e2973c2651293e3ddf1d86c5a2f7c32248""}"
stationary,PASI,607,normal,67722,80000,0.846525,33709.72354081959,33709.72354081959,0.49776621394553605,0.49776621394553605,1000,0,0,"{""provider_static"": ""30cd247e39e223c81105e6f05ec747db8d1fdefd2f4e87788be629cd49d25d7e"", ""providers"": ""35ee87c5f0f1ade32d239f1c8785d27ae9fb04586a27e3f527236da7e61a80f8"", ""tasks"": ""85eb302331ac298db602ec21561f24e2973c2651293e3ddf1d86c5a2f7c32248""}"
stationary,PASI,607,reset,67722,80000,0.846525,33753.78587840489,33753.78587840489,0.49841684944929104,0.49841684944929104,1000,0,0,"{""provider_static"": ""30cd247e39e223c81105e6f05ec747db8d1fdefd2f4e87788be629cd49d25d7e"", ""providers"": ""35ee87c5f0f1ade32d239f1c8785d27ae9fb04586a27e3f527236da7e61a80f8"", ""tasks"": ""85eb302331ac298db602ec21561f24e2973c2651293e3ddf1d86c5a2f7c32248""}"
stationary,MOI,608,normal,67597,80000,0.8449625,40584.053047379224,40602.20310630184,0.6003824585022889,0.6006509624140396,1000,0,0,"{""provider_static"": ""428965f0805d626bcd24804c085683a5248a3a97e23954751c6768e0b1071a2d"", ""providers"": ""5cad7989b5e4adb6dc97cff8bf9d12a30e4c91aee6cb86de51e18a529cf57ce6"", ""tasks"": ""b9b31a0c1aaeca18b35b537ff05a90775bde2baec1f1758cb430050ab01fb099""}"
stationary,MOI,608,reset,67597,80000,0.8449625,40584.053047379224,40602.058557920274,0.6003824585022889,0.6006488240294728,1000,0,0,"{""provider_static"": ""428965f0805d626bcd24804c085683a5248a3a97e23954751c6768e0b1071a2d"", ""providers"": ""5cad7989b5e4adb6dc97cff8bf9d12a30e4c91aee6cb86de51e18a529cf57ce6"", ""tasks"": ""b9b31a0c1aaeca18b35b537ff05a90775bde2baec1f1758cb430050ab01fb099""}"
stationary,PASI,608,normal,67597,80000,0.8449625,34281.332670358024,34281.332670358024,0.5071428121123426,0.5071428121123426,1000,0,0,"{""provider_static"": ""428965f0805d626bcd24804c085683a5248a3a97e23954751c6768e0b1071a2d"", ""providers"": ""5cad7989b5e4adb6dc97cff8bf9d12a30e4c91aee6cb86de51e18a529cf57ce6"", ""tasks"": ""b9b31a0c1aaeca18b35b537ff05a90775bde2baec1f1758cb430050ab01fb099""}"
stationary,PASI,608,reset,67597,80000,0.8449625,34335.56115412424,34335.56115412424,0.5079450442197766,0.5079450442197766,1000,0,0,"{""provider_static"": ""428965f0805d626bcd24804c085683a5248a3a97e23954751c6768e0b1071a2d"", ""providers"": ""5cad7989b5e4adb6dc97cff8bf9d12a30e4c91aee6cb86de51e18a529cf57ce6"", ""tasks"": ""b9b31a0c1aaeca18b35b537ff05a90775bde2baec1f1758cb430050ab01fb099""}"
stationary,MOI,609,normal,67695,80000,0.8461875,43299.87334584596,43323.2797690974,0.6396317799814751,0.6399775429366629,1000,0,0,"{""provider_static"": ""30647ea447b0e8a4f7eaa2a73e1a812eac17583541de17b25803841787769f7a"", ""providers"": ""ff83f8bc9fe160a222227ad58cf8714401269b0105676dbae4e934b632aef73f"", ""tasks"": ""ebf3882fb865944128d21895389da50593a25895b56e14bb4029fa762026d419""}"
stationary,MOI,609,reset,67695,80000,0.8461875,43299.87334584596,43322.97659249874,0.6396317799814751,0.6399730643695802,1000,0,0,"{""provider_static"": ""30647ea447b0e8a4f7eaa2a73e1a812eac17583541de17b25803841787769f7a"", ""providers"": ""ff83f8bc9fe160a222227ad58cf8714401269b0105676dbae4e934b632aef73f"", ""tasks"": ""ebf3882fb865944128d21895389da50593a25895b56e14bb4029fa762026d419""}"
stationary,PASI,609,normal,67695,80000,0.8461875,36705.976854037515,36705.976854037515,0.5422258195440951,0.5422258195440951,1000,0,0,"{""provider_static"": ""30647ea447b0e8a4f7eaa2a73e1a812eac17583541de17b25803841787769f7a"", ""providers"": ""ff83f8bc9fe160a222227ad58cf8714401269b0105676dbae4e934b632aef73f"", ""tasks"": ""ebf3882fb865944128d21895389da50593a25895b56e14bb4029fa762026d419""}"
stationary,PASI,609,reset,67695,80000,0.8461875,36763.45119097453,36763.45119097453,0.5430748384810478,0.5430748384810478,1000,0,0,"{""provider_static"": ""30647ea447b0e8a4f7eaa2a73e1a812eac17583541de17b25803841787769f7a"", ""providers"": ""ff83f8bc9fe160a222227ad58cf8714401269b0105676dbae4e934b632aef73f"", ""tasks"": ""ebf3882fb865944128d21895389da50593a25895b56e14bb4029fa762026d419""}"
stationary,MOI,610,normal,67487,80000,0.8435875,37796.24636440555,37809.87913065451,0.5600522524990821,0.5602542583112972,1000,0,0,"{""provider_static"": ""1a273cfb5b8cdefb1f5ea3b180ecc598f247a1faea9622228a96b983b5d578ab"", ""providers"": ""8b1d2f269f366b49d4036c0077dc8dcd609dde90ca85edfc1a49b551191060eb"", ""tasks"": ""39e9a3a9507fb14adc1542356cbcf5ca37ffe7169ae53eb30815446a58917a0f""}"
stationary,MOI,610,reset,67487,80000,0.8435875,37796.24636440555,37809.748909383954,0.5600522524990821,0.5602523287356669,1000,0,0,"{""provider_static"": ""1a273cfb5b8cdefb1f5ea3b180ecc598f247a1faea9622228a96b983b5d578ab"", ""providers"": ""8b1d2f269f366b49d4036c0077dc8dcd609dde90ca85edfc1a49b551191060eb"", ""tasks"": ""39e9a3a9507fb14adc1542356cbcf5ca37ffe7169ae53eb30815446a58917a0f""}"
stationary,PASI,610,normal,67487,80000,0.8435875,31505.515738462018,31505.515738462018,0.46683829090731577,0.46683829090731577,1000,0,0,"{""provider_static"": ""1a273cfb5b8cdefb1f5ea3b180ecc598f247a1faea9622228a96b983b5d578ab"", ""providers"": ""8b1d2f269f366b49d4036c0077dc8dcd609dde90ca85edfc1a49b551191060eb"", ""tasks"": ""39e9a3a9507fb14adc1542356cbcf5ca37ffe7169ae53eb30815446a58917a0f""}"
stationary,PASI,610,reset,67487,80000,0.8435875,31558.28365784955,31558.28365784955,0.4676201884488798,0.4676201884488798,1000,0,0,"{""provider_static"": ""1a273cfb5b8cdefb1f5ea3b180ecc598f247a1faea9622228a96b983b5d578ab"", ""providers"": ""8b1d2f269f366b49d4036c0077dc8dcd609dde90ca85edfc1a49b551191060eb"", ""tasks"": ""39e9a3a9507fb14adc1542356cbcf5ca37ffe7169ae53eb30815446a58917a0f""}"
