scenario,seed,phase,design_reserve_MOI,design_reserve_PASI,execution_settlement_MOI,execution_settlement_PASI,assigned_MOI,assigned_PASI,tasks_MOI,tasks_PASI,coverage_MOI,coverage_PASI,mean_selected_H_MOI,mean_selected_H_PASI,mean_selected_lambda_MOI,mean_selected_lambda_PASI,design_reserve_saving_pct,execution_settlement_saving_pct,coverage_diff_pp
burst,29,Late,8233.214129863085,6736.95627679804,8236.889769578615,6736.95627679804,16361.0,16361.0,20640.0,20640.0,0.7926841085271318,0.7926841085271318,0.9748877522753202,0.9744648397069446,0.8994486476806909,0.7575655530987324,18.173435422235606,18.20994980800027,0.0
burst,29,Middle,5611.757485788806,4599.911607071443,5614.244658400456,4599.911607071443,10939.0,10939.0,13760.0,13760.0,0.7949854651162791,0.7949854651162791,0.9744897154751003,0.9740954506255239,0.9118229545109303,0.7699511747643288,18.03081977936071,18.067133034740323,0.0
burst,30,Early,3201.879551048267,2746.023297662355,3203.0788883473165,2746.023297662355,5437.0,5437.0,6880.0,6880.0,0.7902616279069767,0.7902616279069767,0.8036413363346372,0.8047827836356121,0.9553427002760796,0.8459011268932389,14.237145592708767,14.269258005093565,0.0
burst,30,Late,9930.634463422191,8310.705245442721,9934.926395011193,8310.705245442721,16481.0,16481.0,20640.0,20640.0,0.7984980620155039,0.7984980620155039,0.9739946047341629,0.9741871174260371,0.9639641493040955,0.8358084620854312,16.312444325145638,16.348597714665214,0.0
burst,30,Middle,6424.3273862857695,5358.424653961814,6427.127444035512,5358.424653961814,10884.0,10884.0,13760.0,13760.0,0.7909883720930233,0.7909883720930233,0.9732897989151768,0.9734859748948279,0.9538179485822795,0.8246664476281024,16.591662725647726,16.628000601815863,0.0
dynamic,1,Early,4675.860585069206,4078.9422576132224,4677.822059683249,4078.9422576132224,7128.0,7128.0,8544.0,8544.0,0.8342696629213483,0.8342696629213483,0.8282004252457328,0.8279583348180569,1.0062754797162683,0.9043595687224488,12.765956482150942,12.80253490682326,0.0
dynamic,1,Late,8080.025122770552,6800.793902636399,8084.228193971061,6800.793902636399,13004.0,13004.0,15456.0,15456.0,0.8413561076604554,0.8413561076604554,0.9752429296335108,0.9748849666508143,0.9981911707453821,0.8636993318159601,15.832020330346674,15.875780105907978,0.0
dynamic,1,Middle,6360.512019083702,5370.082864061629,6363.7376977776785,5370.082864061629,10046.0,10046.0,12000.0,12000.0,0.8371666666666666,0.8371666666666666,0.9739138971475545,0.9734485502698201,1.0029405422940045,0.8727172290733876,15.571531852317055,15.614327316838494,0.0
dynamic,2,Early,4798.124536630507,4283.760881844582,4799.801293399181,4283.760881844582,7095.0,7095.0,8544.0,8544.0,0.8304073033707865,0.8304073033707865,0.8235007177527809,0.8233572156787898,0.9646630630622516,0.879248862272084,10.720098047874703,10.751286980656305,0.0
dynamic,2,Late,8083.221634369716,6932.347073258514,8086.286872954561,6932.347073258514,12899.0,12899.0,15456.0,15456.0,0.8345626293995859,0.8345626293995859,0.974142593424025,0.9744396212390835,0.9396364773033196,0.8239796393187323,14.237820180727256,14.270329730144994,0.0
dynamic,2,Middle,6620.198441070992,5733.5914012922285,6622.805057100201,5733.5914012922285,10122.0,10122.0,12000.0,12000.0,0.8435,0.8435,0.9738135989092184,0.9737162139061417,0.9568956508295552,0.8486345422019894,13.392454133675958,13.42654129392894,0.0
dynamic,3,Early,4554.85453572403,3873.3556160142125,4556.789237475405,3873.3556160142125,7170.0,7170.0,8544.0,8544.0,0.839185393258427,0.839185393258427,0.8339537838705489,0.8339717161179012,1.0185881760421351,0.9028846201469068,14.962034777725075,14.998139827064605,0.0
dynamic,3,Late,7518.452551279932,6085.903015224989,7521.958137269117,6085.903015224989,12924.0,12924.0,15456.0,15456.0,0.8361801242236024,0.8361801242236024,0.977053340823644,0.9769803612488379,0.9878523305804874,0.8308652460435453,19.053781696222416,19.09150643804959,0.0
dynamic,3,Middle,6005.697429700611,4912.132887832213,6008.557175979566,4912.132887832213,9951.0,9951.0,12000.0,12000.0,0.82925,0.82925,0.9759183378574079,0.9754069180997261,0.9985808469572786,0.8508747050201843,18.20878515225022,18.247713320105085,0.0
dynamic,4,Early,4630.252803053271,3978.142177580919,4632.55964257326,3978.142177580919,7062.0,7062.0,8544.0,8544.0,0.8265449438202247,0.8265449438202247,0.8299162627723482,0.8291430540734304,1.0030067230491324,0.8945972645921737,14.0836937681316,14.126476839677126,0.0
dynamic,4,Late,8131.601496320586,6703.4751401001595,8135.544940112619,6703.4751401001595,12956.0,12956.0,15456.0,15456.0,0.8382505175983437,0.8382505175983437,0.9755793205229784,0.9758060037734658,1.005257192396873,0.8588872950456204,17.562670242345625,17.60262908697835,0.0
dynamic,4,Middle,6130.133698629796,5056.7881776469,6133.489626106992,5056.7881776469,9985.0,9985.0,12000.0,12000.0,0.8320833333333333,0.8320833333333333,0.9750782223526132,0.9746696622284189,0.9804995791899004,0.8411231305977841,17.509332972995495,17.55446758851842,0.0
dynamic,5,Early,4081.7289669934507,3514.1284957199123,4083.404866690668,3514.1284957199123,7061.0,7061.0,8544.0,8544.0,0.8264279026217228,0.8264279026217228,0.8302193200066407,0.8298803323655324,0.9560499155168263,0.8504725614479756,13.905883410275177,13.941217918763883,0.0
dynamic,5,Late,6990.1213654768535,5768.71852666729,6993.123834586175,5768.71852666729,13015.0,13015.0,15456.0,15456.0,0.8420678053830227,0.8420678053830227,0.9765575353692292,0.9764252782648625,0.9279472101071323,0.789263644338753,17.47327084822714,17.508703361769374,0.0
dynamic,5,Middle,5357.668871185808,4426.344281474548,5360.025363772213,4426.344281474548,10047.0,10047.0,12000.0,12000.0,0.83725,0.83725,0.9755047740897308,0.9753580680862162,0.9164785509946017,0.7833459947212698,17.38301884836587,17.419340748055156,0.0
dynamic,6,Early,4580.7851178697365,3998.973594594682,4582.767447532304,3998.973594594682,7078.0,7078.0,8544.0,8544.0,0.8284176029962547,0.8284176029962547,0.8301560805554009,0.8292810126662787,0.9640907500137713,0.8653491434729255,12.701131100985197,12.738893247833882,0.0
dynamic,6,Late,7616.779515226326,6345.969638122719,7620.474026530478,6345.969638122719,12866.0,12866.0,15456.0,15456.0,0.832427536231884,0.832427536231884,0.9752919446917273,0.9751049915816115,0.945146521261767,0.813383867296576,16.684346377142656,16.72473895942177,0.0
dynamic,6,Middle,6222.219571180582,5234.347321367029,6225.260670925783,5234.347321367029,9968.0,9968.0,12000.0,12000.0,0.8306666666666667,0.8306666666666667,0.9743387285845726,0.9738974943122112,0.9675143915551566,0.8411857351662542,15.876525064931412,15.91762019198133,0.0
dynamic,7,Early,4563.73584733458,3996.9737660838027,4565.964506201153,3996.9737660838027,7064.0,7064.0,8544.0,8544.0,0.8267790262172284,0.8267790262172284,0.8287428161716159,0.8286320379605807,1.0213338660362294,0.9211361917269316,12.418818709277213,12.461567306197619,0.0
dynamic,7,Late,7769.373710844664,6548.395187967536,7773.3621530948385,6548.395187967536,12972.0,12972.0,15456.0,15456.0,0.8392857142857143,0.8392857142857143,0.9757968926887827,0.9751398152311205,0.9895220449143536,0.8552492982449731,15.71527600960756,15.758521743896903,0.0
dynamic,7,Middle,6168.488542858113,5220.8888238569825,6171.854792489316,5220.8888238569825,9989.0,9989.0,12000.0,12000.0,0.8324166666666667,0.8324166666666667,0.9750862001758805,0.9747219382909419,1.006887428252168,0.8779915077933342,15.361943406675582,15.408106648743392,0.0
