scenario,method,seed,phase,slot_start,slot_end,mean_selected_H,median_selected_H,mean_selected_lambda,design_reserve,execution_settlement,assigned,tasks,coverage
stationary,PASI,18,Late,701,1000,0.9767743374969028,0.9831759016873522,0.9051014777631086,11942.214482010846,11942.214482010846,20241,24000,0.843375
stationary,MOI,18,Early,1,100,0.830460684026181,0.9300592459700898,1.011103240602098,4559.16601138479,4561.147516021336,6748,8000,0.8435
stationary,MOI,18,Middle,301,500,0.9761215495799141,0.9816806646366542,1.0037957288701145,9110.404041239364,9114.753984136672,13563,16000,0.8476875
stationary,MOI,18,Late,701,1000,0.9767850844266188,0.9818216018928764,1.0155153153572132,13760.868655506234,13767.528993300604,20241,24000,0.843375
stationary,PASI,17,Early,1,100,0.8309046430782404,0.9326709976032179,0.9125589738302895,3971.9346917798775,3971.9346917798775,6776,8000,0.847
stationary,PASI,17,Middle,301,500,0.9740355320371483,0.9849269590323628,0.8925896734702212,7759.603363528971,7759.603363528971,13580,16000,0.84875
stationary,PASI,17,Late,701,1000,0.9750185076297212,0.9851977396463851,0.9004668405742104,11770.419842864856,11770.419842864856,20338,24000,0.8474166666666667
stationary,MOI,19,Early,1,100,0.8355515572244104,0.9331997524300967,0.9855135134929418,4323.338453047102,4324.822983419554,6740,8000,0.8425
stationary,MOI,19,Middle,301,500,0.9757316865631047,0.9825745268053818,0.973234824458759,8536.689852937925,8540.000016182445,13566,16000,0.847875
stationary,MOI,19,Late,701,1000,0.9761584721616227,0.9823194229537549,0.9744254874835951,12801.50674915679,12806.1505231767,20292,24000,0.8455
stationary,PASI,19,Early,1,100,0.8358353536469356,0.9308156105754348,0.8927670655632546,3809.254335895661,3809.254335895661,6740,8000,0.8425
stationary,PASI,19,Middle,301,500,0.9758391112598259,0.9832384522595381,0.8636737732343821,7324.882295082312,7324.882295082312,13566,16000,0.847875
stationary,PASI,19,Late,701,1000,0.9757853272513642,0.9828553628143972,0.8657044188949832,10998.420245996815,10998.420245996815,20292,24000,0.8455
stationary,MOI,20,Early,1,100,0.8317748047381149,0.93018078047853,0.9640346956764116,4075.496756019692,4077.177929418924,6788,8000,0.8485
stationary,MOI,20,Middle,301,500,0.9754782804643007,0.9818396780919232,0.9700580767565645,8214.890227298187,8218.66967026861,13600,16000,0.85
stationary,MOI,20,Late,701,1000,0.9763025267233154,0.9816622262740569,0.972133108758781,12354.931059563474,12360.679332840458,20341,24000,0.8475416666666666
stationary,PASI,20,Early,1,100,0.8318153322861328,0.9275512864037985,0.8649232992414463,3554.380718642925,3554.380718642925,6788,8000,0.8485
stationary,PASI,20,Middle,301,500,0.9748745864134228,0.982326590219804,0.8546028132820651,7005.802259988539,7005.802259988539,13600,16000,0.85
stationary,PASI,20,Late,701,1000,0.9757465356175684,0.9823369654925413,0.8568497439378105,10532.951051157253,10532.951051157253,20341,24000,0.8475416666666666
